model_label,Model_Code,refLabel,refPercent,BpS_Name,Var1,Var2,Freq,BPS_CODE,ZONE,total_count,currentPercent
13651_51_UE,13651_51,UE,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13652_51_A,13652_51,A,4,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13652_51_B,13652_51,B,13,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13652_51_C,13652_51,C,4,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13652_51_D,13652_51,D,79,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13652_51_E,13652_51,E,NA,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13652_51_Agriculture,13652_51,Agriculture,0,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13652_51_Developed,13652_51,Developed,0,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13652_51_Water,13652_51,Water,0,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13652_51_UN,13652_51,UN,0,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13652_51_UE,13652_51,UE,0,Boreal White Spruce-Fir-Hardwood Forest - Coastal,NA,NA,NA,NA,NA,NA,NA
13660_50_A,13660_50,A,3,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_50_B,13660_50,B,16,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_50_C,13660_50,C,39,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_50_D,13660_50,D,42,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_50_E,13660_50,E,NA,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_50_Agriculture,13660_50,Agriculture,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_50_Developed,13660_50,Developed,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_50_Water,13660_50,Water,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_50_UN,13660_50,UN,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_50_UE,13660_50,UE,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_51_63_64_65_66_A,13660_51_63_64_65_66,A,3,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_51_63_64_65_66_B,13660_51_63_64_65_66,B,16,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_51_63_64_65_66_C,13660_51_63_64_65_66,C,39,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_51_63_64_65_66_D,13660_51_63_64_65_66,D,42,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_51_63_64_65_66_E,13660_51_63_64_65_66,E,NA,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_51_63_64_65_66_Agriculture,13660_51_63_64_65_66,Agriculture,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_51_63_64_65_66_Developed,13660_51_63_64_65_66,Developed,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_51_63_64_65_66_Water,13660_51_63_64_65_66,Water,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_51_63_64_65_66_UN,13660_51_63_64_65_66,UN,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
13660_51_63_64_65_66_UE,13660_51_63_64_65_66,UE,0,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,NA,NA,NA,NA,NA,NA,NA
14071_41_50_51_A,14071_41_50_51,A,9,Laurentian Pine-Oak Barrens,1601,1,8,14071,41,778,1
14071_41_50_51_B,14071_41_50_51,B,1,Laurentian Pine-Oak Barrens,1601,2,3,14071,41,778,0
14071_41_50_51_C,14071_41_50_51,C,26,Laurentian Pine-Oak Barrens,1601,3,8,14071,41,778,1
14071_41_50_51_D,14071_41_50_51,D,62,Laurentian Pine-Oak Barrens,1601,4,323,14071,41,778,41
14071_41_50_51_E,14071_41_50_51,E,2,Laurentian Pine-Oak Barrens,1601,5,381,14071,41,778,48
14071_41_50_51_Agriculture,14071_41_50_51,Agriculture,0,Laurentian Pine-Oak Barrens,1601,180,2,14071,41,778,0
